Name,Action,Timestamp
blackfriday,SPLIT,12/5/18 21:36
sale,MERGED,12/5/18 21:36
thanksgiving,MERGED,12/5/18 21:36
brk,SPLIT,12/5/18 21:36
blackfriday,SPLIT,12/5/18 21:36
sale,SPLIT,12/5/18 21:36
thanksgiving,SPLIT,12/5/18 21:36
brk,SKIP,12/5/18 21:36
blackfriday,SPLIT,12/5/18 21:36
sale,SKIP,12/5/18 21:36
thanksgiving,SKIP,12/5/18 21:36
brk,SPLIT,12/5/18 21:36
blackfriday,SPLIT,12/5/18 21:36
sale,SPLIT,12/5/18 21:36
thanksgiving,SPLIT,12/5/18 21:36
brk,SPLIT,12/5/18 21:36
blackfriday,SPLIT,12/5/18 21:36
sale,SPLIT,12/5/18 21:36
thanksgiving,SPLIT,12/5/18 21:36
brk,SKIP,12/5/18 21:36
blackfriday,SPLIT,12/5/18 21:36
sale,SKIP,12/5/18 21:36
thanksgiving,SPLIT,12/5/18 21:36
brk,SPLIT,12/5/18 21:36
blackfriday,SKIP,12/5/18 21:37
sale,SPLIT,12/5/18 21:37
thanksgiving,SKIP,12/5/18 21:37
brk,SKIP,12/5/18 21:37
blackfriday,SPLIT,12/5/18 21:37
sale,SPLIT,12/5/18 21:37
thanksgiving,SKIP,12/5/18 21:37
brk,SPLIT,12/5/18 21:37
blackfriday,SPLIT,12/5/18 21:37
sale,SPLIT,12/5/18 21:37
thanksgiving,SPLIT,12/5/18 21:37
brk,SPLIT,12/5/18 21:37
blackfriday,SPLIT,12/5/18 21:37
sale,SPLIT,12/5/18 21:37
thanksgiving,SPLIT,12/5/18 21:37
brk,SPLIT,12/5/18 21:37
blackfriday,SPLIT,12/5/18 21:37
sale,SKIP,12/5/18 21:37
thanksgiving,SKIP,12/5/18 21:37
brk,SPLIT,12/5/18 21:37
blackfriday,SKIP,12/5/18 21:37
sale,SPLIT,12/5/18 21:37
thanksgiving,SPLIT,12/5/18 21:37
brk,SKIP,12/5/18 21:37
blackfriday,SPLIT,12/5/18 21:37
sale,SPLIT,12/5/18 21:38
thanksgiving,SKIP,12/5/18 21:38
brk,SKIP,12/5/18 21:38
blackfriday,SKIP,12/5/18 21:38
sale,SPLIT,12/5/18 21:38
thanksgiving,SKIP,12/5/18 21:38
brk,SPLIT,12/5/18 21:38
blackfriday,SKIP,12/5/18 21:38
sale,SPLIT,12/5/18 21:38
thanksgiving,SPLIT,12/5/18 21:38
brk,SPLIT,12/5/18 21:38
blackfriday,SPLIT,12/5/18 21:38
sale,SPLIT,12/5/18 21:38
thanksgiving,SPLIT,12/5/18 21:38
brk,SKIP,12/5/18 21:38
blackfriday,SPLIT,12/5/18 21:38
sale,SPLIT,12/5/18 21:38
thanksgiving,SPLIT,12/5/18 21:38
brk,SPLIT,12/5/18 21:38
blackfriday,SKIP,12/5/18 21:38
sale,SKIP,12/5/18 21:38
thanksgiving,SKIP,12/5/18 21:38
brk,SPLIT,12/5/18 21:38
blackfriday,SPLIT,12/5/18 21:38
sale,SPLIT,12/5/18 21:38
thanksgiving,SKIP,12/5/18 21:38
brk,SKIP,12/5/18 21:38
blackfriday,SKIP,12/5/18 21:39
sale,SPLIT,12/5/18 21:39
thanksgiving,SKIP,12/5/18 21:39
brk,SKIP,12/5/18 21:39
blackfriday,SPLIT,12/5/18 21:39
sale,SPLIT,12/5/18 21:39
thanksgiving,SPLIT,12/5/18 21:39
brk,SKIP,12/5/18 21:39
blackfriday,SKIP,12/5/18 21:39
sale,SKIP,12/5/18 21:39
thanksgiving,SPLIT,12/5/18 21:39
brk,SPLIT,12/5/18 21:39
blackfriday,SPLIT,12/5/18 21:39
sale,SKIP,12/5/18 21:39
thanksgiving,SPLIT,12/5/18 21:39
brk,SKIP,12/5/18 21:39
blackfriday,SPLIT,12/5/18 21:39
sale,SPLIT,12/5/18 21:39
thanksgiving,SKIP,12/5/18 21:39
brk,SKIP,12/5/18 21:39
blackfriday,SPLIT,12/5/18 21:39
sale,SPLIT,12/5/18 21:39
thanksgiving,SKIP,12/5/18 21:39
brk,MERGED,12/5/18 21:39
blackfriday,SPLIT,12/5/18 21:39
sale,SKIP,12/5/18 21:39
thanksgiving,SPLIT,12/5/18 21:39
brk,MERGED,12/5/18 21:39
blackfriday,SKIP,12/5/18 21:40
sale,SKIP,12/5/18 21:40
thanksgiving,SPLIT,12/5/18 21:40
brk,SPLIT,12/5/18 21:40
blackfriday,SKIP,12/5/18 21:40
sale,SPLIT,12/5/18 21:40
thanksgiving,SKIP,12/5/18 21:40
brk,SKIP,12/5/18 21:40
blackfriday,SKIP,12/5/18 21:40
sale,SKIP,12/5/18 21:40
thanksgiving,SKIP,12/5/18 21:40
brk,SKIP,12/5/18 21:40
blackfriday,SKIP,12/5/18 21:40
sale,SPLIT,12/5/18 21:40
thanksgiving,SPLIT,12/5/18 21:40
brk,MERGED,12/5/18 21:40
blackfriday,SKIP,12/5/18 21:40
sale,SPLIT,12/5/18 21:40
thanksgiving,SPLIT,12/5/18 21:40
brk,SPLIT,12/5/18 21:40
blackfriday,SPLIT,12/5/18 21:40
sale,SPLIT,12/5/18 21:40
thanksgiving,SPLIT,12/5/18 21:40
brk,SPLIT,12/5/18 21:40
blackfriday,SKIP,12/5/18 21:40
sale,SKIP,12/5/18 21:40
thanksgiving,SPLIT,12/5/18 21:40
brk,SPLIT,12/5/18 21:40
blackfriday,SPLIT,12/5/18 21:41
sale,SKIP,12/5/18 21:41
thanksgiving,SPLIT,12/5/18 21:41
brk,SPLIT,12/5/18 21:41
